cityid,total
1782,1486
1783,220396
1807,3687
1784,33017
1785,2475
1786,1655
1787,9652
1788,107450
1789,486
1790,35
1791,105688
1792,1001193
1793,443604
1794,134349
1795,47042
1797,17947
1798,41952
1799,53259
1800,132233
1801,5216
1802,7686
1803,8709
1804,29758
1805,102433
1806,156151
1808,34333
1809,85974
1810,8400
1811,39050
1812,3144
1813,15988
1814,14955
1815,12768
1816,10695
1817,95336
1818,32770
1819,2776
1820,42959
1821,83403
1822,3297
1823,34514
1824,39941
1825,86566
1826,51290
1827,37864
1828,24400
1829,82040
1830,291948
1831,37989
1832,9931
1833,2012
1834,1397
2159,96
1835,4452
1836,15401
1837,33307
1838,1069
1839,19052
1840,488507
1841,21119
1842,83496
1843,144618
1890,2861
1844,114700
1845,41662
1846,54759
1847,84355
1848,84325
1849,93872
1850,193455
1851,396475
2160,35
1852,269697
1853,1611304
1854,21827
1855,6247
1856,4249
1857,216461
1858,98093
1859,53006
1860,3743
1861,9440
1862,178819
1863,108244
1864,8567
1865,8702
1866,6273
1867,19128
1868,18464
1869,9316
1929,24562
1870,106898
1871,15073
1872,7998
1873,45083
1874,33478
1875,97676
1876,28376
1877,8117
1878,21627
1879,6820
1880,5260
1881,25455
1882,16669
1883,1438
1884,36690
1885,54866
1886,48067
1887,9773
1888,58664
1889,2533
1891,1812
1892,5309
1893,9175
1894,25372
1895,11176
1896,227774
1897,10240
1898,8458
1899,5838
1900,10350
1901,3195
1902,26107
1903,58322
1904,52169
1905,51472
1906,40826
1907,87987
1908,108268
1909,56760
1910,21385
1911,178283
1912,27691
1913,59834
1914,82092
1915,87090
1916,80285
1917,56855
1918,27327
1919,27797
1920,46877
1921,25238
1922,10955
1923,213140
1924,18575
1925,60291
1926,244754
1927,74879
1928,8003
1930,24710
1931,6222
1932,20172
1933,5687
1934,85796
1935,113525
1936,38996
1937,24843
1938,29160
1986,19553
1939,12340
1940,10844
1941,14495
1942,20314
1943,14973
1944,24854
1945,3084
1946,48196
1947,76675
1948,41643
1949,30691
1950,39683
1951,114574
1952,24561
1953,54972
1954,34445
1955,120464
1956,38466
1957,35804
1958,87298
1959,38696
1960,107456
1961,17487
1962,10716
1963,5153
1964,11748
1965,7434
1966,7991
1967,13552
1968,138953
1969,98142
1970,58432
1971,44232
1972,21095
1973,44937
1974,76935
1975,174000
1976,202313
2157,61
1977,707883
1978,415074
1979,232291
1980,153222
1981,35893
1982,61715
1983,100595
1984,39265
1985,23389
1987,98701
1988,117388
1989,141902
1990,132984
1991,144590
1992,47506
1993,44214
1994,95470
1995,1103782
1996,2134
1997,51651
